Name	Beschreibung	Status  	Starttyp	Anmelden als
AppX-Bereitstellungsdienst (AppXSVC)	Stellt Infrastrukturunterstützung für die Bereitstellung von Store-Anwendungen bereit. Dieser Dienst wird bei Bedarf gestartet. Wenn er deaktiviert ist, werden Store-Anwendungen nicht im System bereitgestellt und funktionieren möglicherweise nicht korrekt.		Manuell	Lokales System
Arbeitsordner	Von diesem Dienst werden Dateien mit Ihrem Arbeitsordnerserver synchronisiert. Dies ermöglicht Ihnen, die Dateien auf sämtlichen PCs und Geräten zu verwenden, auf denen Sie Arbeitsordner einrichten.		Manuell	Lokaler Dienst
Arbeitsstationsdienst	Erstellt und wartet Clientnetzwerkverbindungen mit Remoteservern unter Verwendung des SMB-Protkolls. Diese Verbindungen sind nicht mehr verfügbar, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Angehalten	Automatisch	Netzwerkdienst
Aufgabenplanung	Ermöglicht einem Benutzer, automatische Aufgaben auf diesem Computer zu konfigurieren und zu planen. Der Dienst hostet auch mehrere Windows-systemkritische Aufgaben. Wenn dieser Dienst beendet oder deaktiviert wird, werden diese Vorgänge nicht zu den geplanten Zeiten ausgeführt. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokales System
Autom. Setup von Geräten, die mit dem Netzwerk verbunden sind	Der Dienst "Autom. Setup von Geräten, die mit dem Netzwerk verbunden sind" überwacht und installiert zugelassene Geräte, die Verbindungen mit einem zugelassenen Netzwerk herstellen. Wird dieser Dienst beendet oder deaktiviert, kann Windows zugelassene mit dem Netzwerk verbundene Geräte nicht mehr erkennen und installieren. Benutzer können einem PC solche Geräte weiterhin manuell über die Benutzeroberfläche hinzufügen.		Manuell (Start durch Auslöser)	Lokaler Dienst
Automatische Konfiguration (verkabelt)	Mit dem Dienst für die automatische Konfiguration von Kabelnetzwerken (DOT3SVC) wird eine IEEE 802.1X-Authentifizierung an Ethernet-Schnittstellen ausgeführt. Wenn bei der aktuellen verkabelten Netzwerkbereitstellung die 802.1X-Authentifizierung erzwungen wird, muss der DOT3SVC-Dienst so konfiguriert werden, dass eine Konnektivität auf der 2. Schicht hergestellt bzw. Zugriff auf Netzwerkressourcen ermöglicht wird. Der DOT3SVC-Dienst wirkt sich nicht auf Kabelnetzwerke aus, bei denen die 802.1X-Authentifizierung nicht erzwungen wird.		Manuell	Lokales System
Automatische WLAN-Konfiguration	Der WLANSVC-Dienst bietet die erforderliche Logik, um ein lokales Funknetzwerk (Wireless Local Area Network, WLAN) gemäß IEEE 802.11-Standards zu konfigurieren, zu ermitteln, eine Verbindung mit diesem herzustellen und die Verbindung mit diesem zu trennen. Er enthält außerdem die Logik, um den Computer als Softwarezugriffspunkt zu verwenden, sodass von anderen Geräten oder Computern mithilfe eines entsprechenden WLAN-Adapters eine Funkverbindung mit dem Computer hergestellt werden kann. Durch das Beenden oder Deaktivieren des WLANSVC-Diensts kann von der Windows-Netzwerkbenutzeroberfläche aus auf keinen der WLAN-Adpater auf dem Computer zugegriffen werden. Die Ausführung des WLANSVC-Diensts wird dringend empfohlen, wenn der Computer über einen WLAN-Adapter verfügt.	Wird ausgeführt	Automatisch	Lokales System
Automatische Zeitzonenaktualisierung	Legt die Systemzeitzone automatisch fest.		Deaktiviert	Lokaler Dienst
Avast SecureLine		Wird ausgeführt	Automatisch	Lokales System
AVCTP-Dienst	Dies ist der AVCTP (Audio Video Control Transport Protocol)-Dienst.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Basisfiltermodul	Das Basisfiltermodul ist ein Dienst, der Firewall- und IPsec-Richtlinien überwacht und eine Benutzermodusfilterung implementiert. Durch das Beenden oder Deaktivieren des BFM-Diensts wird die Sicherheit des Systems erheblich beeinträchtigt. Darüber hinaus zeigen die IPsec-Verwaltungs- und Firewallanwendungen ein unerwartetes Verhalten.	Wird ausgeführt	Automatisch	Lokaler Dienst
Benachrichtigungsdienst für Systemereignisse	Überwacht Systemereignisse und benachrichtigt Abonnenten des COM+-Ereignissystems bei diesen Ereignissen.	Wird ausgeführt	Automatisch	Lokales System
Benutzerdatenspeicher _2424160	Verarbeitet die Speicherung strukturierter Benutzerdaten, einschließlich Kontaktinformationen, Kalender, Nachrichten und anderer Inhalte. Wenn Sie diesen Dienst beenden oder deaktivieren, funktionieren Apps, die diese Daten verwenden, möglicherweise nicht ordnungsgemäß.	Wird ausgeführt	Manuell	Lokales System
Benutzerdatenzugriff_2424160	Ermöglicht Apps den Zugriff auf strukturierte Benutzerdaten, einschließlich Kontaktinformationen, Kalender, Nachrichten und anderer Inhalte. Wenn Sie diesen Dienst beenden oder deaktivieren, funktionieren Apps, die diese Daten verwenden, möglicherweise nicht ordnungsgemäß.	Wird ausgeführt	Manuell	Lokales System
Benutzerdienst für die Plattform für verbundene Geräte_2424160	Dieser Benutzerdienst wird für Szenarien in Verbindung mit der Plattform für verbundene Geräte verwendet.	Wird ausgeführt	Automatisch	Lokales System
Benutzerdienst für GameDVR und Übertragungen_2424160	Dieser Benutzerdienst wird für Spielaufzeichnungen und Liveübertragungen verwendet.		Manuell	Lokales System
Benutzererfahrung und Telemetrie im verbundenen Modus	Durch den Dienst für Benutzererfahrung und Telemetrie im verbundenen Modus werden Features aktiviert, die Benutzerfreundlichkeit in Anwendungen und im verbundenen Modus unterstützen. Außerdem verwaltet dieser Dienst die ereignisgesteuerte Sammlung und Übertragung von Diagnose- und Nutzungsdaten (die zur Verbesserung der Benutzerfreundlichkeit und Qualität der Windows-Plattform eingesetzt werden). Dazu müssen die Diagnose- und Nutzungseinstellungen in der Datenschutzoption unter "Feedback und Diagnose" aktiviert sein.	Wird ausgeführt	Automatisch	Lokales System
Benutzer-Manager	Der Benutzer-Manager stellt die Laufzeitkomponenten bereit, die für Interaktionen mit mehreren Benutzern erforderlich sind. Wenn dieser Dienst beendet wird, funktionieren einige Anwendungen möglicherweise nicht korrekt.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokales System
Benutzerprofildienst	Dieser Dienst ist für das Laden und Entladen von Benutzerprofilen verantwortlich. Wenn dieser Dienst beendet oder deaktiviert ist, können Benutzer sich nicht mehr an- oder abmelden. Zudem können Probleme beim Abruf von Benutzerdaten für Apps auftreten, und Komponenten, die für den Empfang von Profilereignisbenachrichtigungen registriert sind, erhalten keine Benachrichtigungen.	Wird ausgeführt	Automatisch	Lokales System
BitLocker-Laufwerkverschlüsselungsdienst	BDESVC hostet den BitLocker-Laufwerkverschlüsselungsdienst. Die BitLocker-Laufwerkverschlüsselung ermöglicht einen sicheren Start des Betriebssystems sowie eine vollständige Volumeverschlüsselung für Betriebssystemvolumes, eingebaute Volumes oder austauschbare Volumes. Mithilfe dieses Diensts können Benutzer durch BitLocker aufgefordert werden, bei der Bereitstellung von Volumes verschiedene Aktionen auszuführen. Erfolgt keine Benutzeraktion, werden die Volumes automatisch gesperrt. Darüber hinaus werden Wiederherstellungsinformationen in Active Directory gespeichert, sofern verfügbar. Zudem wird mit dem Dienst sichergestellt, dass die aktuellsten Wiederherstellungszertifikate verwendet werden. Wenn der Dienst deaktiviert oder beendet wird, können Benutzer diese Funktionen nicht mehr nutzen.		Manuell (Start durch Auslöser)	Lokales System
Blockebenen-Sicherungsmodul	Der WBENGINE-Dienst wird von der Windows-Sicherung verwendet, um Sicherungs- und Wiederherstellungsvorgänge auszuführen. Wenn dieser Dienst vom Benutzer beendet wird, kann beim derzeit ausgeführten Sicherungs- und Wiederherstellungsvorgang ein Fehler auftreten. Wenn dieser Dienst deaktiviert wird, werden die Sicherungs- und Wiederherstellungsvorgänge auf diesem Computer, für die die Windows-Sicherung verwendet wird, möglicherweise deaktiviert.		Manuell	Lokales System
Bluetooth-Audiogateway-Dienst	Dieser Dienst unterstützt die Audiogatewayrolle des Bluetooth-Freisprechprofils.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Bluetooth-Unterstützungsdienst	Der Bluetooth-Dienst unterstützt die Ermittlung und Zuordnung von Remote-Bluetooth-Geräten. Wird der Dienst beendet oder deaktiviert, funktionieren bereits installierte Bluetooth-Geräte möglicherweise nicht mehr ordnungsgemäß, und neue Geräte können unter Umständen nicht ermittelt oder zugeordnet werden.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokaler Dienst
Bluetooth-Unterstützungsdienst für Benutzer_2424160	Der Bluetooth-Benutzerdienst unterstützt in den einzelnen Benutzersitzungen die ordnungsgemäße Funktionsweise der relevanten Bluetooth-Features.		Manuell (Start durch Auslöser)	Lokales System
Broker für DevQuery-Hintergrundermittlung	Ermöglicht es Apps, Geräte mit einer Hintergrundaufgabe zu ermitteln.		Manuell (Start durch Auslöser)	Lokales System
Broker für Laufzeitüberwachung der Systemüberwachung	Überwacht und bestätigt die Integrität der Windows-Plattform.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
BTDevManager	REALTEK Bluetooth Service	Wird ausgeführt	Automatisch	Lokales System
CaptureService_2424160	OneCore-Erfassungsdienst		Manuell	Lokales System
Clientlizenzdienst (ClipSVC)	Stellt dem Microsoft Store Infrastrukturunterstützung bereit. Der Dienst wird bei Bedarf gestartet. Wenn der Dienst deaktiviert wird, verhalten sich über den Windows Store erworbene Anwendungen nicht korrekt.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
CNG-Schlüsselisolation	Der CNG-Schlüsselisolationsdienst wird im LSA-Prozess gehostet. Der Dienst stellt eine Schlüsselprozessisolation für private Schlüssel und zugehörige Kryptografievorgänge gemäß den Anforderungen der allgemeinen Kriterien bereit. Der Dienst speichert und verwendet langlebige Schlüssel in einem sicheren Prozess in Übereinstimmung mit den Anforderungen der allgemeinen Kriterien.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
COM+-Ereignissystem	Unterstützt den Systemereignis-Benachrichtigungsdienst (SENS), mit dem Ereignisse automatisch an abonnierende COM-Komponenten verteilt werden. Nach dem Beenden des Dienstes wird SENS geschlossen, so dass keine weiteren Anmelde- und Abmeldebenachrichtigungen bereitgestellt werden können. Nach dem Deaktivieren des Dienstes können alle Dienste nicht mehr gestartet werden, die explizit auf diesem Dienst basieren.	Wird ausgeführt	Automatisch	Lokaler Dienst
COM+-Systemanwendung	Verwaltet die Komponentenkonfiguration und -überwachung von COM+-basierten Komponenten. Nach dem Beenden des Dienstes sind die meisten COM+-basierten Komponenten nicht ordnungsgemäß funktionsfähig. Nach dem Deaktivieren dieses Dienstes werden alle Dienste nicht gestartet, die explizit auf diesem Dienst basieren.		Manuell	Lokales System
Computerbrowser	Führt eine aktuelle Liste der Computer im Netzwerk und gibt diese an als Browser fungierende Computer weiter. Diese Liste wird nicht aktualisiert oder gewartet, falls der Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Manuell (Start durch Auslöser)	Lokales System
ConsentUX_2424160	Ermöglicht die Nutzung von ConnectUX- und PC-Einstellungen, um eine Verbindung mit WLAN-Anzeigen und Bluetooth-Geräten herzustellen und diese zu koppeln.		Manuell	Lokales System
CoreMessaging	Manages communication between system components.	Wird ausgeführt	Automatisch	Lokaler Dienst
Cyberlink RichVideo64 Service(CRVS)		Wird ausgeführt	Automatisch	Lokales System
Dateiversionsverlauf-Dienst	Schützt Benutzerdateien vor einem versehentlichen Verlust durch Kopieren der Dateien an einen Sicherungsspeicherort.		Manuell (Start durch Auslöser)	Lokales System
Datenfreigabedienst	Dient als Datenbroker zwischen Anwendungen.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Datennutzung	Nutzung von Netzwerkdaten, Datenlimit, Einschränkung von Hintergrunddaten, getaktete Netzwerke.	Wird ausgeführt	Automatisch	Lokaler Dienst
DCOM-Server-Prozessstart	Mit dem DCOMLAUNCH-Dienst werden COM- und DCOM-Server als Reaktion auf Objektaktivierungsanforderungen gestartet. Wenn dieser Dienst beendet oder deaktiviert wird, werden Programme, für die COM oder DCOM verwendet wird, nicht ordnungsgemäß ausgeführt. Es wird dringend empfohlen, den DCOMLAUNCH-Dienst auszuführen.	Wird ausgeführt	Automatisch	Lokales System
Designs	Stellt die Designverwaltung zur Verfügung.	Wird ausgeführt	Automatisch	Lokales System
DevicePicker_2424160	Dieser Benutzerdienst wird für die Verwaltung der Miracast-, DLNA-und DIAL-Benutzeroberfläche verwendet.		Manuell	Lokales System
DevicesFlow_2424160	Ermöglicht die Nutzung von ConnectUX- und PC-Einstellungen, um eine Verbindung mit WLAN-Anzeigen und Bluetooth-Geräten herzustellen und diese zu koppeln.	Wird ausgeführt	Manuell	Lokales System
DHCP-Client	Registriert und aktualisiert IP-Adressen und DNS-Einträge für diesen Computer. Dieser Computer kann keine dynamischen IP-Adressen und DNS-Aktualisierungen empfangen, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.	Wird ausgeführt	Automatisch	Lokaler Dienst
Diagnosediensthost	Der Diagnosediensthost wird vom Diagnoserichtliniendienst als Host für Diagnosen verwendet, die im Kontext eines lokalen Diensts ausgeführt werden müssen. Wird dieser Dienst beendet, funktionieren alle davon abhängigen Diagnosen nicht mehr ordnungsgemäß.	Wird ausgeführt	Manuell	Lokaler Dienst
Diagnoserichtliniendienst	Der Diagnoserichtliniendienst ermöglicht die Problemerkennung,  Problembehandlung und Lösung für Windows-Komponenten. Wenn dieser Dienst beendet wird, funktioniert die Diagnose nicht mehr.	Wird ausgeführt	Automatisch	Lokaler Dienst
Diagnosesystemhost	Der Diagnosesystemhost wird vom Diagnoserichtliniendienst als Host für Diagnosen verwendet, die im Kontext eines lokalen Systems ausgeführt werden müssen. Wird dieser Dienst beendet, funktionieren alle davon abhängigen Diagnosen nicht mehr ordnungsgemäß.		Manuell	Lokales System
Diagnostic Execution Service	Executes diagnostic actions for troubleshooting support		Manuell (Start durch Auslöser)	Lokales System
Dienst "Assistent für lokale Profile"	Dieser Dienst ermöglicht die Profilverwaltung für Abonnentenidentitätsmodule.		Manuell (Start durch Auslöser)	Lokaler Dienst
Dienst "Bonjour"	Damit können Hardwaregeräte und Softwaredienste im Netzwerk eine automatische Selbstkonfiguration durchführen und ihre Verfügbarkeit anzeigen.	Wird ausgeführt	Automatisch	Lokales System
Dienst für Bildschirmtastatur und Schreibbereich	Aktiviert die Stift- und Freihandfunktionalität der Bildschirmtastatur und des Schreibbereichs.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Lokales System
Dienst für Einzelhandelsdemos	Der Dienst für Einzelhandelsdemos steuert die Geräteaktivität, während sich das Gerät im Modus für Einzelhandelsdemos befindet.		Manuell	Lokales System
Dienst für räumliche Daten	Dieser Dienst wird in Szenarien zur räumlichen Wahrnehmung verwendet.	Wird ausgeführt	Manuell	Lokaler Dienst
Distributed Transaction Coordinator	Koordiniert Transaktionen, die sich über mindestens zwei Ressourcenverwaltungen wie Datenbanken, Nachrichtenwarteschlangen oder Dateisysteme erstrecken. Wenn der Dienst beendet ist, treten bei diesen Transaktionen Fehler auf. Wenn der Dienst deaktiviert ist, können abhängige Dienste nicht gestartet werden.	Wird ausgeführt	Manuell	Netzwerkdienst
DNS-Client	Der DNS-Clientdienst (dnscache) speichert DNS-Namen (Domain Name System) zwischen und registriert den vollständigen Computernamen für diesen Computer. Wenn der Dienst beendet wird, werden DNS-Namen weiterhin aufgelöst. Die Ergebnisse von DNS-Namenabfragen werden jedoch nicht zwischengespeichert, und der Name des Computers wird nicht registriert. Wenn der Dienst deaktiviert ist, können alle explizit von ihm abhängigen Dienste nicht gestartet werden.	Wird ausgeführt	Automatisch (Start durch Auslöser)	Netzwerkdienst
Druckererweiterungen und -benachrichtigungen	Mit diesem Dienst werden benutzerdefinierte Druckerdialogfelder geöffnet und Benachrichtigungen von einem Remotedruckerserver oder einem Drucker verwaltet. Wenn Sie diesen Dienst deaktivieren, werden keine Druckererweiterungen oder -benachrichtigungen angezeigt.		Manuell	Lokales System
Druckwarteschlange	Dieser Dienst spoolt Druckaufträge und verarbeitet Interaktionen mit dem Drucker. Wenn Sie diesen Dienst ausschalten, können Sie weder drucken noch Drucker anzeigen.	Wird ausgeführt	Automatisch	Lokales System
Echtzeit-Datenträgerprüfung	Überprüft mögliche Beschädigungen des Dateisystems.		Manuell (Start durch Auslöser)	Lokales System
Eingabegerätedienst	Aktiviert und unterstützt die Verwendung von Abkürzungstasten auf Tastaturen, Fernbedienungen und anderen Multimediageräten. Es wird empfohlen, diesen Dienst nicht zu deaktivieren.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Eingebetteter Modus	Der Dienst für den eingebetteten Modus ermöglicht Szenarien für Hintergrundanwendungen. Durch die Deaktivierung dieses Diensts wird die Aktivierung von Hintergrundanwendungen verhindert.		Manuell (Start durch Auslöser)	Lokales System
Enumeratordienst für tragbare Geräte	Erzwingt Gruppenrichtlinien für Wechsel-Massenspeichergeräte. Ermöglicht Anwendungen wie Windows Media Player und dem Bildimport-Assistenten, Inhalte unter Verwendung von Wechsel-Massenspeichergeräten zu übertragen und zu synchronisieren.		Manuell (Start durch Auslöser)	Lokales System
Ereignisse zum Abrufen von Standbildern	Startet Anwendungen im Zusammenhang mit Ereignissen zum Abrufen von Standbildern.		Manuell	Lokales System
ESIF Upper Framework Service	ESIF Upper Framework Service	Wird ausgeführt	Automatisch	Lokales System
Extensible Authentication-Protokoll	Der EAP-Dienst (Extensible Authentication Protocol) stellt in folgenden Szenarios eine Netzwerkauthentifizierung bereit: 802.1X (verkabelt und drahtlos), VPN und NAP (Network Access Protection). EAP stellt darüber hinaus APIs (Application Programming Interface, Anwendungsprogrammierschnittstelle) bereit, die von Netzwerkzugriffclients, einschließlich Drahtlosclients und VPN-Clients, beim Authentifizierungsvorgang verwendet werden. Wenn Sie diesen Dienst deaktivieren, kann dieser Computer nicht mehr auf Netzwerke zugreifen, die eine EAP-Authentifizierung verwenden.		Manuell	Lokales System
Fax	Ermöglicht das Senden und Empfangen von Faxen mithilfe der Faxressourcen, die auf dem Computer oder im Netzwerk verfügbar sind.		Manuell	Netzwerkdienst
Funktionssuchanbieter-Host	Der FDPHOST-Dienst dient zum Hosten der Netzwerkerkennungsanbieter für die Funktionssuche (Function Discovery, FD). Von diesen FD-Anbietern werden Netzwerkerkennungsdienste für das Simple Services Discovery-Protokoll (SSDP) und das Web Services - Discovery (WS-D)-Protokoll bereitgestellt. Durch Beenden oder Deaktivieren des FDPHOST-Diensts wird bei Verwendung von FD die Netzwerkerkennung für diese Protokolle deaktiviert. Ist dieser Dienst nicht verfügbar, können mit Netzwerkdiensten, von denen FD und diese Erkennungsprotokolle verwendet werden, keine Netzwerkgeräte oder -ressourcen gesucht werden.		Manuell	Lokaler Dienst
Funktionssuche-Ressourcenveröffentlichung	Veröffentlicht diesen Computer und die daran angeschlossenen Ressourcen, damit sie über das Netzwerk gesucht werden können. Wenn dieser Dienst beendet wird, werden die Netzwerkressourcen nicht mehr veröffentlicht, damit sie von anderen Computern im Netzwerk gesucht werden können.		Manuell (Start durch Auslöser)	Lokaler Dienst
Funkverwaltungsdienst	Dienst für Funkverwaltung und Flugzeugmodus	Wird ausgeführt	Manuell	Lokaler Dienst
GamesAppIntegrationService	WT Games App Integration Services	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
GamesAppService	WT Games App Services		Manuell	Lokales System
Gatewaydienst auf Anwendungsebene	Bietet Unterstützung für Protokoll-Plug-Ins von Drittanbietern für die gemeinsame Nutzung der Internetverbindung.		Manuell	Lokaler Dienst
Gemeinsame Nutzung der Internetverbindung	Bietet allen Computern in Heim- und kleinen Firmennetzwerken Dienste für die Netzwerkadressübersetzung, Adressierung, Namensauflösung und Eindringschutz.		Manuell (Start durch Auslöser)	Lokales System
Geolocation-Dienst	Dieser Dienst überwacht den aktuellen Standort des Systems und verwaltet Geofences (geografische Standorte mit zugeordneten Ereignissen). Wenn Sie diesen Dienst deaktivieren, sind Anwendungen nicht in der Lage, Benachrichtigungen zu Geolocations oder Geofences zu nutzen oder zu empfangen.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Geräteinstallationsdienst	Ermöglicht dem Computer, Hardwareänderungen zu erkennen und sich ohne oder mit geringer Benutzerinteraktion darauf einzustellen. Beenden oder Deaktivieren dieses Dienstes wird die Systemstabilität beeinträchtigen.		Manuell (Start durch Auslöser)	Lokales System
Geräteinstallations-Manager	Ermöglicht das Erkennen, Herunterladen sowie das Installieren von gerätebezogener Software. Wenn dieser Dienst deaktiviert ist, werden Geräte möglicherweise mit veralteter Software konfiguriert und nicht ordnungsgemäß ausgeführt.		Manuell (Start durch Auslöser)	Lokales System
Gerätezuordnungsdienst	Ermöglicht die Kopplung zwischen dem System und verkabelten Geräten oder Drahtlosgeräten.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Google Chrome Elevation Service		Wird ausgeführt	Manuell	Lokales System
Google Update-Dienst (gupdate)	Hält Ihre Google-Software auf dem neuesten Stand. Falls dieser Service deaktiviert oder angehalten wird, wird Ihre Google-Software nicht aktualisiert. Das heißt, dass eventuell auftretende Sicherheitslücken nicht behoben und bestimmte Funktionen möglicherweise nicht ausgeführt werden können. Dieser Service deinstalliert sich selbst, wenn er nicht von einer Google-Software verwendet wird.		Automatisch (Verzögerter Start)	Lokales System
Google Update-Dienst (gupdatem)	Hält Ihre Google-Software auf dem neuesten Stand. Falls dieser Service deaktiviert oder angehalten wird, wird Ihre Google-Software nicht aktualisiert. Das heißt, dass eventuell auftretende Sicherheitslücken nicht behoben und bestimmte Funktionen möglicherweise nicht ausgeführt werden können. Dieser Service deinstalliert sich selbst, wenn er nicht von einer Google-Software verwendet wird.		Manuell	Lokales System
GraphicsPerfSvc	Graphics performance monitor service		Manuell (Start durch Auslöser)	Lokales System
Gruppenrichtlinienclient	Von dem Dienst werden Einstellungen angewendet, die von Administratoren mithilfe der Gruppenrichtlinienkomponente für den Computer und für Benutzer konfiguriert wurden. Wenn der Dienst deaktiviert wird, werden die Einstellungen nicht angewendet, und Anwendungen sowie Komponenten können nicht über Gruppenrichtlinien verwaltet werden. Alle Komponenten oder Anwendungen, die von der Gruppenrichtlinienkomponente abhängen, funktionieren möglicherweise nicht mehr, falls der Dienst deaktiviert wird.		Automatisch (Start durch Auslöser)	Lokales System
Hostdienst für Windows Encryption Provider	Der Hostdienst für Windows Encryption Provider vermittelt Verschlüsselungsfunktionen von Drittanbieter-Verschlüsselungsanbietern an Prozesse, die EAS-Richtlinien bewerten und anwenden müssen. Wird dies angehalten, sind die EAS-Kompatibilitätsüberprüfungen gefährdet, die von den verbundenen E-Mail-Konten eingerichtet wurden.		Manuell (Start durch Auslöser)	Lokaler Dienst
HP Registration Service		Wird ausgeführt	Automatisch	Lokales System
HP Software Framework Service		Wird ausgeführt	Manuell	Lokales System
HP Support Solutions Framework Service	This service allows for the detection of HP products and enables identification of support solutions for detected products.	Wird ausgeführt	Automatisch (Verzögerter Start)	Lokales System
HPWMISVC			Automatisch	Lokales System
HV-Hostdienst	Stellt eine Schnittstelle für den Hyper-V-Hypervisor bereit, um partitionsspezifische Leistungsindikatoren für das Hostbetriebssystem bereitzustellen.		Manuell (Start durch Auslöser)	Lokales System
Hyper-V PowerShell Direct-Dienst	Stellt einen Mechanismus bereit, um einen virtuellen Computer mit PowerShell über eine VM-Sitzung ohne virtuelles Netzwerk zu verwalten.		Manuell (Start durch Auslöser)	Lokales System
Hyper-V-Datenaustauschdienst	Stellt einen Mechanismus zum Austauschen von Daten zwischen dem virtuellen Computer und dem Betriebssystem bereit, das auf dem physischen Computer ausgeführt wird.		Manuell (Start durch Auslöser)	Lokales System
Hyper-V-Dienst für Zeitsynchronisierung	Synchronisiert die Systemzeit dieses virtuellen Computers mit der Systemzeit des physischen Computers.		Manuell (Start durch Auslöser)	Lokaler Dienst
Hyper-V-Dienst zum Herunterfahren des Gasts	Stellt einen Mechanismus zum Herunterfahren des Betriebssystems dieses virtuellen Computers über die Verwaltungsschnittstellen auf dem physischen Computer bereit.		Manuell (Start durch Auslöser)	Lokales System
Hyper-V-Gastdienstschnittstelle	Stellt eine Schnittstelle für den Hyper-V-Host für die Interaktion mit bestimmten Diensten bereit, die auf dem virtuellen Computer ausgeführt werden.		Manuell (Start durch Auslöser)	Lokales System
Hyper-V-Remotedesktopvirtualisierungsdienst	Enthält eine Plattform für die Kommunikation zwischen dem virtuellen Computer und dem Betriebssystem, das auf dem physischen Computer ausgeführt wird.		Manuell (Start durch Auslöser)	Lokales System
Hyper-V-Taktdienst	Überwacht den Status dieses virtuellen Computers, indem in regelmäßigen Abständen ein Takt gemeldet wird. Dieser Dienst hilft Ihnen beim Identifizieren der ausgeführten virtuellen Computer, die nicht mehr reagieren.		Manuell (Start durch Auslöser)	Lokales System
